# caida-chi15-opp-dim
# quelen-Q-W=10-1-16
# Fract. packets dropped (99^{th}%)
# Pipeline depth (clock cycles)  * (global)                       5-tuple                          ipdst                            ipdst/16                         
1.0                              0.0                              0.0                              0.0                              0.0                              
2.0                              6e-05                            3.81e-05                         3.81e-05                         3.81e-05                         
3.0                              0.00027                          0.0001481                        0.0001462                        0.0001462                        
4.0                              0.0004781                        0.0002581                        0.0002562                        0.0002581                        
5.0                              0.0008481                        0.0003481                        0.00035                          0.0003662                        
6.0                              0.0018272                        0.0004681                        0.0004562                        0.0004643                        
7.0                              0.0040344                        0.0005562                        0.0005705                        0.0005581                        
8.0                              0.0088196                        0.0006681                        0.0006681                        0.00066                          
9.0                              0.018159                         0.0008343                        0.0008562                        0.0008405                        
10.0                             0.0397844                        0.0010424                        0.0010286                        0.0010567                        
11.0                             0.0770173                        0.0012943                        0.0013186                        0.0013205                        
12.0                             0.1263362                        0.0015705                        0.0015462                        0.0016181                        
13.0                             0.1830072                        0.001851                         0.00182                          0.0019981                        
14.0                             0.2393409                        0.0022186                        0.0022591                        0.0023624                        
15.0                             0.2898726                        0.0025962                        0.0025953                        0.00275                          
16.0                             0.3342357                        0.0030448                        0.0029943                        0.00331                          
17.0                             0.3733887                        0.0038115                        0.0036291                        0.0042344                        
18.0                             0.4081905                        0.0046997                        0.0045792                        0.0051973                        
19.0                             0.4393326                        0.0056088                        0.0053829                        0.0060948                        
20.0                             0.4673613                        0.0067641                        0.0064167                        0.0074949                        
21.0                             0.4927181                        0.0079172                        0.0079949                        0.0093031                        
22.0                             0.515773                         0.0096453                        0.0096953                        0.0113273                        
23.0                             0.5368249                        0.0113053                        0.0117672                        0.0136296                        
24.0                             0.5561138                        0.0133624                        0.0138162                        0.0167305                        
25.0                             0.5738723                        0.0165716                        0.0166824                        0.0200004                        
26.0                             0.5902567                        0.0194963                        0.0197564                        0.023592                         
27.0                             0.605427                         0.0231272                        0.0237592                        0.0291111                        
28.0                             0.6195158                        0.027516                         0.028362                         0.035784                         
29.0                             0.6326305                        0.0337432                        0.0356377                        0.0441776                        
30.0                             0.6448763                        0.0409069                        0.0436292                        0.0526797                        
