# caida-chi15-opp-dim
# quelen-Q-W=10-1-16
# 99^{th}\% latency (cycles) (max)
# Pipeline depth (clock cycles)  * (global)                       5-tuple                          ipdst                            ipdst/16                         ipsrc,ipdst                      
1.0                              0.0                              0.0                              0.0                              0.0                              0.0                              
2.0                              5.0                              2.0                              2.0                              2.0                              2.0                              
3.0                              11.0                             4.0                              4.0                              4.0                              4.0                              
4.0                              18.0                             6.0                              6.0                              6.0                              6.0                              
5.0                              28.0                             8.0                              8.0                              8.0                              8.0                              
6.0                              43.0                             10.0                             10.0                             10.0                             10.0                             
7.0                              60.0                             12.0                             12.0                             14.0                             12.0                             
8.0                              74.0                             16.0                             16.0                             18.0                             16.0                             
9.0                              87.0                             21.0                             21.0                             22.0                             21.0                             
10.0                             98.0                             25.0                             25.0                             26.0                             25.0                             
11.0                             109.0                            29.0                             29.0                             30.0                             29.0                             
12.0                             119.0                            33.0                             33.0                             35.0                             33.0                             
13.0                             129.0                            36.0                             36.0                             40.0                             37.0                             
14.0                             139.0                            42.0                             40.0                             47.0                             43.0                             
15.0                             149.0                            47.0                             46.0                             52.57                            49.0                             
16.0                             159.0                            53.0                             52.0                             59.0                             54.0                             
17.0                             169.0                            58.0                             57.0                             64.0                             59.0                             
18.0                             179.0                            64.0                             63.0                             71.0                             65.0                             
19.0                             189.0                            69.0                             69.0                             77.0                             70.0                             
20.0                             199.0                            75.0                             75.0                             84.0                             76.0                             
21.0                             209.0                            80.0                             80.0                             89.0                             81.0                             
22.0                             219.0                            88.0                             86.0                             96.0                             87.0                             
23.0                             229.0                            93.0                             92.0                             102.0                            92.27                            
24.0                             239.0                            99.0                             98                               110.0                            97.0                             
25.0                             249.0                            104.0                            104                              118.0                            103.0                            
26.0                             259.0                            112.0                            112.0                            125.0                            110.0                            
27.0                             269.0                            119.0                            119.0                            126.0                            117.0                            
28.0                             279.0                            124.0                            126.0                            133.0                            124.0                            
29.0                             289.0                            131.0                            136.0                            142.0                            133.0                            
30.0                             299.0                            138.0                            142.0                            150.0                            139                              
