# caida-chi15-opp-dim
# quelen-Q-W=10-1-16
# Throughput (min)
# Pipeline depth (clock cycles)  * (global)                       5-tuple                          ipdst                            ipdst/16                         ipsrc,ipdst                      
1.0                              1.0                              1.0                              1.0                              1.0                              1.0                              
2.0                              0.99991                          0.99994                          0.99995                          0.99995                          0.99995                          
3.0                              0.99968                          0.99982                          0.99981                          0.99982                          0.99982                          
4.0                              0.99931                          0.99969                          0.99967                          0.99969                          0.99968                          
5.0                              0.99887                          0.99958                          0.99956                          0.99956                          0.99958                          
6.0                              0.99791                          0.99945                          0.99945                          0.99943                          0.99945                          
7.0                              0.99486                          0.99925                          0.99924                          0.9992                           0.99925                          
8.0                              0.98677                          0.99909                          0.9991                           0.99907                          0.99908                          
9.0                              0.97295                          0.99893                          0.9989                           0.9989                           0.99892                          
10.0                             0.94692                          0.99876                          0.99873                          0.99869                          0.99877                          
11.0                             0.90446                          0.99856                          0.99858                          0.9985                           0.99859                          
12.0                             0.84883                          0.99834                          0.99837                          0.99825                          0.99839                          
13.0                             0.79008                          0.9981                           0.99803                          0.99788                          0.99817                          
14.0                             0.735                            0.99767                          0.99764                          0.99735                          0.99771                          
15.0                             0.6861                           0.99723                          0.99712                          0.99673                          0.99721                          
16.0                             0.64323                          0.99662                          0.99656                          0.99609                          0.99659                          
17.0                             0.6054                           0.99597                          0.99564                          0.99531                          0.99566                          
18.0                             0.57177                          0.99502                          0.99495                          0.99442                          0.99496                          
19.0                             0.54168                          0.994                            0.99395                          0.99316                          0.99392                          
20.0                             0.51459                          0.99291                          0.99285                          0.99177                          0.99275                          
21.0                             0.49009                          0.99138                          0.99149                          0.99015                          0.9913                           
22.0                             0.46781                          0.98933                          0.98977                          0.98808                          0.98977                          
23.0                             0.44747                          0.98725                          0.98762                          0.98521                          0.98754                          
24.0                             0.42883                          0.98459                          0.98423                          0.98156                          0.98493                          
25.0                             0.41167                          0.98087                          0.98046                          0.97931                          0.98143                          
26.0                             0.39584                          0.97826                          0.97609                          0.97379                          0.97927                          
27.0                             0.38118                          0.97347                          0.97068                          0.96772                          0.97499                          
28.0                             0.36757                          0.96783                          0.96466                          0.96008                          0.96923                          
29.0                             0.35489                          0.96031                          0.95742                          0.95065                          0.96359                          
30.0                             0.34306                          0.95355                          0.94884                          0.94177                          0.95527                          
