# caida-chi15-opp-dim
# quelen-Q-W=100-16-16
# 99^{th}\% max queue occupancy (max)
# Pipeline depth (clock cycles)  * (global)                       5-tuple                          ipdst                            ipdst/16                         
1.0                              1.0                              1.0                              1.0                              1.0                              
2.0                              3.0                              1.0                              2.0                              2.0                              
3.0                              4.0                              2.0                              2.0                              2.0                              
4.0                              5.0                              2.0                              2.0                              2.0                              
5.0                              7.0                              2.0                              2.0                              2.0                              
6.0                              9.0                              2.0                              2.0                              2.0                              
7.0                              17.0                             2.0                              2.0                              2.0                              
8.0                              36.0                             2.0                              2.0                              2.0                              
9.0                              96.0                             2.0                              2.0                              3.0                              
10.0                             100.0                            3.0                              3.0                              3.0                              
11.0                             100.0                            3.0                              3.0                              3.0                              
12.0                             100.0                            3.0                              3.0                              3.0                              
13.0                             100.0                            3.0                              3.0                              3.0                              
14.0                             100.0                            3.0                              3.0                              4.0                              
15.0                             100.0                            4.0                              4.0                              4.0                              
16.0                             100.0                            4.0                              4.0                              4.0                              
17.0                             100.0                            4.0                              4.0                              5.0                              
18.0                             100.0                            5.0                              5.0                              5.0                              
19.0                             100.0                            5.0                              5.0                              5.0                              
20.0                             100.0                            6.0                              5.0                              6.0                              
21.0                             100.0                            6.0                              6.0                              6.0                              
22.0                             100.0                            6.0                              6.0                              7.0                              
23.0                             100.0                            7.0                              7.0                              7.0                              
24.0                             100.0                            7.0                              7.0                              8.0                              
25.0                             100.0                            8.0                              7.0                              8.0                              
26.0                             100.0                            8.0                              8.0                              9.0                              
27.0                             100.0                            9.0                              8.0                              12.0                             
28.0                             100.0                            9.0                              8.0                              16.0                             
29.0                             100.0                            10.0                             9.0                              19.0                             
30.0                             100.0                            10.0                             9.0                              23.0                             
