# caida-chi15-opp-dim
# quelen-Q-W=100-4-16
# 99^{th}\% queue occupancy sum (max)
# Pipeline depth (clock cycles)  * (global)                       5-tuple                          ipdst                            ipdst/16                         
1.0                              1.0                              1.0                              1.0                              1.0                              
2.0                              3.0                              2.0                              2.0                              2.0                              
3.0                              4.0                              2.0                              2.0                              2.0                              
4.0                              5.0                              3.0                              3.0                              3.0                              
5.0                              7.0                              3.0                              3.0                              3.0                              
6.0                              9.0                              3.0                              3.0                              3.0                              
7.0                              17.0                             3.0                              3.0                              3.0                              
8.0                              36.0                             3.0                              3.0                              3.0                              
9.0                              96.0                             4.0                              4.0                              4.0                              
10.0                             100.0                            4.0                              4.0                              4.0                              
11.0                             100.0                            4.0                              4.0                              4.0                              
12.0                             100.0                            4.0                              5.0                              5.0                              
13.0                             100.0                            5.0                              5.0                              5.0                              
14.0                             100.0                            5.0                              5.0                              5.0                              
15.0                             100.0                            6.0                              6.0                              6.0                              
16.0                             100.0                            6.0                              6.0                              6.0                              
17.0                             100.0                            7.0                              7.0                              7.0                              
18.0                             100.0                            8.0                              8.0                              7.0                              
19.0                             100.0                            8.0                              8.0                              8.0                              
20.0                             100.0                            9.0                              9.0                              9.0                              
21.0                             100.0                            10.0                             10.0                             9.0                              
22.0                             100.0                            10.0                             10.0                             10.0                             
23.0                             100.0                            11.0                             11.0                             11.0                             
24.0                             100.0                            12.0                             12.0                             12.0                             
25.0                             100.0                            13.0                             13.0                             13.0                             
26.0                             100.0                            14.0                             14.0                             14.0                             
27.0                             100.0                            15.0                             15.0                             20.0                             
28.0                             100.0                            16.0                             16.0                             24.0                             
29.0                             100.0                            17.0                             17.0                             31.0                             
30.0                             100.0                            18.0                             18.0                             35.0                             
