# caida-chi15-opp
# Q-W=1-16
# Throughput (min)
# Pipeline depth (clock cycles)  * (global)                       5-tuple                          ipdst                            ipdst/16                         
1.0                              1.0                              1.0                              1.0                              1.0                              
2.0                              0.99997                          0.99998                          0.99998                          0.99998                          
3.0                              0.99996                          0.99998                          0.99998                          0.99998                          
4.0                              0.99993                          0.99997                          0.99997                          0.99997                          
5.0                              0.99991                          0.99996                          0.99997                          0.99996                          
6.0                              0.99981                          0.99995                          0.99996                          0.99995                          
7.0                              0.99973                          0.99992                          0.99992                          0.99992                          
8.0                              0.99947                          0.99991                          0.99991                          0.99991                          
9.0                              0.9991                           0.99991                          0.99991                          0.9999                           
10.0                             0.99847                          0.9999                           0.9999                           0.99989                          
11.0                             0.92785                          0.9999                           0.9999                           0.99989                          
12.0                             0.85054                          0.99989                          0.99989                          0.99986                          
13.0                             0.79163                          0.99986                          0.99989                          0.99985                          
14.0                             0.73512                          0.99986                          0.99987                          0.99982                          
15.0                             0.68611                          0.99982                          0.99982                          0.99981                          
16.0                             0.64323                          0.99981                          0.99981                          0.9998                           
17.0                             0.6054                           0.99981                          0.99981                          0.9998                           
18.0                             0.57177                          0.9998                           0.9998                           0.99979                          
19.0                             0.54168                          0.9998                           0.99979                          0.99979                          
20.0                             0.51459                          0.99979                          0.99976                          0.99978                          
21.0                             0.49009                          0.99979                          0.99975                          0.99974                          
22.0                             0.46781                          0.99979                          0.99971                          0.99971                          
23.0                             0.44747                          0.99978                          0.99967                          0.99964                          
24.0                             0.42883                          0.99978                          0.99965                          0.99962                          
25.0                             0.41167                          0.99965                          0.99952                          0.99953                          
26.0                             0.39584                          0.99953                          0.99944                          0.99937                          
27.0                             0.38118                          0.99932                          0.99937                          0.99917                          
28.0                             0.36757                          0.99919                          0.99929                          0.999                            
29.0                             0.35489                          0.99898                          0.99915                          0.99882                          
30.0                             0.34306                          0.99883                          0.99905                          0.99857                          
