# caida-sj12-opp-dim
# quelen-Q-W=10-8-16
# Fract. packets dropped (99^{th}%)
# Pipeline depth (clock cycles)  * (global)                       5-tuple                          ipdst                            ipdst/16                         
1.0                              0.0                              0.0                              0.0                              0.0                              
2.0                              0.0451692                        0.00012                          0.022275                         0.0216166                        
3.0                              0.1449514                        0.001469                         0.0639842                        0.0608267                        
4.0                              0.2579292                        0.003256                         0.1223076                        0.1156552                        
5.0                              0.3692775                        0.0047305                        0.182471                         0.175295                         
6.0                              0.4725342                        0.005592                         0.24141                          0.232667                         
7.0                              0.5541892                        0.006234                         0.2954127                        0.2859498                        
8.0                              0.6101266                        0.0068005                        0.341214                         0.331848                         
9.0                              0.6533722                        0.007269                         0.381869                         0.372352                         
10.0                             0.6880182                        0.007583                         0.415296                         0.405108                         
11.0                             0.7163712                        0.007866                         0.4443594                        0.4333646                        
12.0                             0.7400022                        0.008162                         0.4683342                        0.4571898                        
13.0                             0.7599934                        0.0084115                        0.489085                         0.477342                         
14.0                             0.7771253                        0.0086115                        0.5073794                        0.494892                         
15.0                             0.7919801                        0.008773                         0.523199                         0.5104646                        
16.0                             0.8049761                        0.0089735                        0.536636                         0.5234194                        
17.0                             0.8164394                        0.009162                         0.549003                         0.5354998                        
18.0                             0.8266361                        0.0093155                        0.5599162                        0.5460676                        
19.0                             0.8357523                        0.0094465                        0.569864                         0.5553954                        
20.0                             0.8439541                        0.0096245                        0.5787326                        0.564169                         
21.0                             0.8513815                        0.0112445                        0.5872076                        0.5721124                        
22.0                             0.8581306                        0.01257                          0.5944472                        0.5795504                        
23.0                             0.8642975                        0.0158155                        0.6012742                        0.586445                         
24.0                             0.8699461                        0.0194952                        0.6071788                        0.5932156                        
25.0                             0.8751425                        0.0210404                        0.6134564                        0.5990122                        
26.0                             0.8799467                        0.0240714                        0.6186036                        0.6044281                        
27.0                             0.8843887                        0.0269634                        0.6237406                        0.6091656                        
28.0                             0.8885107                        0.0324637                        0.6281095                        0.6138074                        
29.0                             0.8923544                        0.0365965                        0.6328                           0.6182946                        
30.0                             0.8959381                        0.0436079                        0.636772                         0.622444                         
