# caida-sj12-opp-dim
# quelen-Q-W=10-4-16
# 99^{th}\% latency (cycles) (max)
# Pipeline depth (clock cycles)  * (global)                       5-tuple                          ipdst                            ipdst/16                         
1.0                              0.0                              0.0                              0.0                              0.0                              
2.0                              19.0                             4.0                              19.0                             20.0                             
3.0                              29.0                             12.0                             30.0                             30.0                             
4.0                              39.0                             18.0                             39.0                             39.0                             
5.0                              49.0                             23.0                             50.0                             50.0                             
6.0                              59.0                             28.0                             60.0                             60.0                             
7.0                              69.0                             31.0                             70.0                             70.0                             
8.0                              79.0                             36.0                             79.0                             79.0                             
9.0                              89.0                             40.94                            90.0                             90.0                             
10.0                             99.0                             45.0                             100.0                            100.0                            
11.0                             109.0                            51.0                             110                              110.0                            
12.0                             119.0                            57.0                             119.0                            119.0                            
13.0                             129.0                            64.0                             130.0                            130.0                            
14.0                             139.0                            72.0                             140.0                            140.0                            
15.0                             149.0                            79.0                             150.0                            150.0                            
16.0                             159.0                            86.0                             159.0                            159.0                            
17.0                             169.0                            95.0                             169.0                            169.0                            
18.0                             179.0                            102.0                            179.0                            179.0                            
19.0                             189.0                            110.0                            189.0                            189.0                            
20.0                             199.0                            118.0                            199.0                            199.0                            
21.0                             209.0                            125.0                            209.0                            209.0                            
22.0                             219.0                            133.0                            219.0                            219.0                            
23.0                             229.0                            141.0                            229.0                            229.0                            
24.0                             239.0                            146.0                            239.0                            239.0                            
25.0                             249.0                            156.0                            249.0                            249.0                            
26.0                             259.0                            168.0                            259.0                            259.0                            
27.0                             269.0                            182.0                            269.0                            269.0                            
28.0                             279.0                            192.0                            279.0                            279.0                            
29.0                             289.0                            204.0                            289.0                            289.0                            
30.0                             299.0                            216.0                            299.0                            299.0                            
