# caida-sj12-opp-dim
# quelen-Q-W=10-8-16
# 99^{th}\% queue occupancy sum (max)
# Pipeline depth (clock cycles)  * (global)                       5-tuple                          ipdst                            ipdst/16                         ipsrc,ipdst                      
1.0                              1.0                              1.0                              1.0                              1.0                              1.0                              
2.0                              10.0                             3.0                              10.0                             10.0                             3.0                              
3.0                              10.0                             6.0                              11.0                             11.0                             7.0                              
4.0                              10.0                             9.0                              11.0                             11.0                             9.0                              
5.0                              10.0                             10.0                             11.0                             12.0                             10.0                             
6.0                              10.0                             10.0                             12.0                             12.0                             10.0                             
7.0                              10.0                             10.0                             13.0                             13.0                             10.0                             
8.0                              10.0                             10.0                             14.0                             14.0                             11.0                             
9.0                              10.0                             11.0                             15.0                             15.0                             12.0                             
10.0                             10.0                             13.0                             16.0                             16.0                             14.0                             
11.0                             10.0                             15.0                             16.0                             16.0                             17.0                             
12.0                             10.0                             18.0                             17.0                             17.0                             20.0                             
13.0                             10.0                             21.0                             17.0                             17.0                             22.0                             
14.0                             10.0                             24.0                             18.0                             18.0                             25.0                             
15.0                             10.0                             28.0                             18.0                             18.0                             28.0                             
16.0                             10.0                             32.0                             18.0                             18.0                             32.0                             
17.0                             10.0                             36.0                             18.0                             18.0                             36.0                             
18.0                             10.0                             41.0                             19.0                             18.0                             40.0                             
19.0                             10.0                             45.01                            19.0                             19.0                             44.0                             
20.0                             10.0                             50.0                             19.0                             19.0                             47.0                             
21.0                             10.0                             54.0                             19.0                             19.0                             51.0                             
22.0                             10.0                             57.0                             19.0                             19.0                             54.0                             
23.0                             10.0                             60.0                             19.0                             20.0                             56.0                             
24.0                             10.0                             60.0                             19.0                             20.0                             59.0                             
25.0                             10.0                             63.0                             19.0                             20.0                             62.0                             
26.0                             10.0                             66.0                             20.0                             21.0                             64.0                             
27.0                             10.0                             67.0                             20.0                             21.0                             66.0                             
28.0                             10.0                             69.0                             20.0                             22.0                             67.0                             
29.0                             10.0                             71.0                             21.0                             23.0                             70.0                             
30.0                             10.0                             72.0                             22.0                             23.0                             71.0                             
