# caida-sj12-opp-dim
# quelen-Q-W=100-1-16
# Fract. packets dropped (99^{th}%)
# Pipeline depth (clock cycles)  * (global)                       5-tuple                          ipdst                            ipdst/16                         ipsrc,ipdst                      
1.0                              0.0                              0.0                              0.0                              0.0                              0.0                              
2.0                              0.001164                         0.0                              0.0                              0.0                              0.0                              
3.0                              0.036282                         0.0                              0.00821                          0.0082595                        0.0                              
4.0                              0.1958158                        0.0                              0.041479                         0.0406175                        0.0                              
5.0                              0.3499174                        0.0                              0.133683                         0.1305544                        4.75e-05                         
6.0                              0.458156                         0.0003185                        0.2367636                        0.2323876                        0.0004585                        
7.0                              0.5354644                        0.0017695                        0.320498                         0.3174095                        0.0019685                        
8.0                              0.5955584                        0.0051335                        0.3880401                        0.3846751                        0.005323                         
9.0                              0.651833                         0.011865                         0.4414909                        0.4382081                        0.0141285                        
10.0                             0.6871182                        0.0222328                        0.484203                         0.481889                         0.0234504                        
11.0                             0.7154712                        0.0264412                        0.51948                          0.516274                         0.0315554                        
12.0                             0.7391022                        0.0482109                        0.5495858                        0.5472196                        0.0539274                        
13.0                             0.7590934                        0.0813                           0.5744724                        0.5730984                        0.0890916                        
14.0                             0.7762253                        0.1192812                        0.5966774                        0.5957408                        0.1269358                        
15.0                             0.7910801                        0.1581407                        0.6166736                        0.615033                         0.1661005                        
16.0                             0.8040761                        0.1999975                        0.6335924                        0.6328294                        0.2057216                        
17.0                             0.8155394                        0.2376225                        0.6496546                        0.6480798                        0.2452193                        
18.0                             0.8257361                        0.2737772                        0.6633282                        0.6626208                        0.2819772                        
19.0                             0.8348523                        0.3091378                        0.6772306                        0.6753553                        0.315961                         
20.0                             0.8430541                        0.3419792                        0.6901072                        0.689917                         0.3472994                        
21.0                             0.8504815                        0.3727268                        0.7044808                        0.702089                         0.3772397                        
22.0                             0.8572306                        0.3979496                        0.7177358                        0.7155052                        0.4045676                        
23.0                             0.8633975                        0.425775                         0.7290705                        0.728452                         0.4280432                        
24.0                             0.8690461                        0.4488318                        0.741637                         0.7387366                        0.453315                         
25.0                             0.8742425                        0.4717452                        0.7524595                        0.7509424                        0.4743921                        
26.0                             0.8790467                        0.4915239                        0.7644472                        0.7622396                        0.4953322                        
27.0                             0.8834887                        0.5162148                        0.7737458                        0.7704484                        0.5131408                        
28.0                             0.8876107                        0.5313737                        0.7839027                        0.7789124                        0.5306556                        
29.0                             0.8914544                        0.5519984                        0.7924276                        0.7853098                        0.5517844                        
30.0                             0.8950381                        0.5681708                        0.7977016                        0.7926055                        0.5714496                        
