# caida-sj12-opp-dim
# quelen-Q-W=100-4-16
# 99^{th}\% latency (cycles) (max)
# Pipeline depth (clock cycles)  * (global)                       5-tuple                          ipdst                            ipdst/16                         ipsrc,ipdst                      
1.0                              0.0                              0.0                              0.0                              0.0                              0.0                              
2.0                              171.0                            4                                79.0                             77.0                             4.0                              
3.0                              299.0                            17.0                             285.0                            283.0                            17.0                             
4.0                              399.0                            37.0                             387.0                            387.0                            34.0                             
5.0                              499.0                            61.0                             492.0                            493.0                            58.0                             
6.0                              599.0                            90.0                             592.0                            591.0                            86.02                            
7.0                              699.0                            122.0                            689.0                            689.0                            116.0                            
8.0                              799.0                            152.0                            784.0                            783.0                            145.0                            
9.0                              899.0                            189.0                            886.0                            885.0                            178.0                            
10.0                             999.0                            241.0                            982.0                            980.0                            223.0                            
11.0                             1099.0                           304.0                            1079.0                           1075.0                           281.0                            
12.0                             1199.0                           363.0                            1172.0                           1166.0                           351.0                            
13.0                             1299.0                           413.0                            1271.13                          1264.0                           401.21                           
14.0                             1399.0                           464.12                           1368.0                           1363.0                           499.0                            
15.0                             1499.0                           526.0                            1465.0                           1457.0                           579.0                            
16.0                             1599.0                           592.68                           1551.0                           1550.0                           720.33                           
17.0                             1699.0                           653                              1651.0                           1650.0                           779.0                            
18.0                             1799.0                           712.18                           1748.0                           1743.0                           858.0                            
19.0                             1899.0                           826.0                            1844.0                           1835.0                           913.0                            
20.0                             1999.0                           914                              1936.0                           1936.0                           1019.0                           
21.0                             2099.0                           1026.01                          2040.0                           2033.0                           1061.03                          
22.0                             2199.0                           1086.12                          2131.0                           2133.0                           1128.0                           
23.0                             2299.0                           1191.0                           2223.0                           2221.0                           1195.07                          
24.0                             2399.0                           1223.15                          2319.0                           2318.0                           1270.0                           
25.0                             2499.0                           1298.0                           2415.0                           2407.0                           1339.1                           
26.0                             2599.0                           1361.0                           2498.0                           2501.0                           1411.0                           
27.0                             2699.0                           1452.62                          2612.0                           2609.0                           1487.0                           
28.0                             2799.0                           1530.01                          2710.0                           2687.0                           1562.0                           
29.0                             2899.0                           1618.14                          2808.0                           2784.0                           1654.0                           
30.0                             2999.0                           1699.0                           2900.0                           2881.0                           1710.0                           
