# caida-sj12-opp-dim
# quelen-Q-W=100-4-16
# 99^{th}\% max queue occupancy (max)
# Pipeline depth (clock cycles)  * (global)                       5-tuple                          ipdst                            ipdst/16                         ipsrc,ipdst                      
1.0                              1.0                              1.0                              1.0                              1.0                              1.0                              
2.0                              90.0                             3.0                              43.0                             42.0                             3.0                              
3.0                              100.0                            7.0                              100.0                            100.0                            7.0                              
4.0                              100.0                            13.0                             100.0                            100.0                            12.0                             
5.0                              100.0                            18.0                             100.0                            100.0                            17.0                             
6.0                              100.0                            23.0                             100.0                            100.0                            22.0                             
7.0                              100.0                            28.0                             100.0                            100.0                            27.0                             
8.0                              100.0                            32.0                             100.0                            100.0                            31.0                             
9.0                              100.0                            38.0                             100.0                            100.0                            37.0                             
10.0                             100.0                            49.0                             100.0                            100.0                            52.0                             
11.0                             100.0                            60.0                             100.0                            100.0                            65.0                             
12.0                             100.0                            66.0                             100.0                            100.0                            69.0                             
13.0                             100.0                            75.0                             100.0                            100.0                            74.0                             
14.0                             100.0                            82.0                             100.0                            100.0                            85.0                             
15.0                             100.0                            91.0                             100.0                            100.0                            94.0                             
16.0                             100.0                            95.0                             100.0                            100.0                            97.0                             
17.0                             100.0                            96.0                             100.0                            100.0                            99.0                             
18.0                             100.0                            97.0                             100.0                            100.0                            100.0                            
19.0                             100.0                            98.0                             100.0                            100.0                            100.0                            
20.0                             100.0                            99.0                             100.0                            100.0                            100.0                            
21.0                             100.0                            100.0                            100.0                            100.0                            100.0                            
22.0                             100.0                            100.0                            100.0                            100.0                            100.0                            
23.0                             100.0                            100.0                            100.0                            100.0                            100.0                            
24.0                             100.0                            100.0                            100.0                            100.0                            100.0                            
25.0                             100.0                            100.0                            100.0                            100.0                            100.0                            
26.0                             100.0                            100.0                            100.0                            100.0                            100.0                            
27.0                             100.0                            100.0                            100.0                            100.0                            100.0                            
28.0                             100.0                            100.0                            100.0                            100.0                            100.0                            
29.0                             100.0                            100.0                            100.0                            100.0                            100.0                            
30.0                             100.0                            100.0                            100.0                            100.0                            100.0                            
