# caida-sj12-opp-dim
# quelen-Q-W=100-8-16
# 99^{th}\% queue occupancy sum (max)
# Pipeline depth (clock cycles)  * (global)                       5-tuple                          ipdst                            ipdst/16                         
1.0                              1.0                              1.0                              1.0                              1.0                              
2.0                              90.0                             3.0                              43.0                             43.0                             
3.0                              100.0                            8.0                              100.0                            100.0                            
4.0                              100.0                            12.0                             101.0                            101.0                            
5.0                              100.0                            17.0                             101.0                            101.0                            
6.0                              100.0                            22.0                             103.0                            103.0                            
7.0                              100.0                            26.0                             107.0                            107.0                            
8.0                              100.0                            30.0                             111.0                            111.0                            
9.0                              100.0                            33.0                             114.0                            113.0                            
10.0                             100.0                            37.0                             116.0                            116.0                            
11.0                             100.0                            40.0                             119.0                            119.0                            
12.0                             100.0                            46.0                             122.0                            123.0                            
13.0                             100.0                            56.0                             125.0                            125.0                            
14.0                             100.0                            64.0                             129.0                            129.0                            
15.0                             100.0                            70.0                             134.0                            136.0                            
16.0                             100.0                            75.0                             141.0                            141.0                            
17.0                             100.0                            81.0                             146.0                            146.0                            
18.0                             100.0                            85.0                             151.0                            149.0                            
19.0                             100.0                            96.0                             155.0                            154.0                            
20.0                             100.0                            103.0                            158.0                            157.0                            
21.0                             100.0                            110.0                            161.0                            161.0                            
22.0                             100.0                            116.0                            164.0                            165.01                           
23.0                             100.0                            129.0                            167.0                            168.0                            
24.0                             100.0                            154.0                            170.0                            171.0                            
25.0                             100.0                            195.0                            172.0                            173.0                            
26.0                             100.0                            250.0                            174.0                            175.0                            
27.0                             100.0                            307.0                            176.0                            177.0                            
28.0                             100.0                            370.0                            177.0                            179.0                            
29.0                             100.0                            433.0                            179.0                            181.0                            
30.0                             100.0                            513.0                            181.0                            183.0                            
