# caida-sj12-opp-dim
# quelen-Q-W=100-1-16
# Throughput (min)
# Pipeline depth (clock cycles)  * (global)                       5-tuple                          ipdst                            ipdst/16                         ipsrc,ipdst                      
1.0                              1.0                              1.0                              1.0                              1.0                              1.0                              
2.0                              0.99807                          0.99992                          0.99955                          0.99955                          0.99994                          
3.0                              0.93163                          0.99984                          0.98747                          0.98852                          0.99979                          
4.0                              0.75585                          0.99976                          0.92443                          0.92701                          0.99964                          
5.0                              0.60621                          0.99959                          0.81854                          0.82376                          0.99951                          
6.0                              0.50518                          0.99913                          0.71477                          0.72132                          0.99895                          
7.0                              0.43301                          0.99672                          0.6316                           0.63845                          0.99629                          
8.0                              0.37888                          0.9932                           0.56702                          0.57456                          0.99282                          
9.0                              0.33679                          0.98371                          0.518                            0.52441                          0.98407                          
10.0                             0.30311                          0.96568                          0.47759                          0.4845                           0.96606                          
11.0                             0.27555                          0.94119                          0.44407                          0.45138                          0.94194                          
12.0                             0.25259                          0.91052                          0.41573                          0.42212                          0.90883                          
13.0                             0.23316                          0.87194                          0.39243                          0.39816                          0.86874                          
14.0                             0.21651                          0.8303                           0.37105                          0.3778                           0.82551                          
15.0                             0.20207                          0.79092                          0.35219                          0.35958                          0.78441                          
16.0                             0.18944                          0.74738                          0.33532                          0.34198                          0.74502                          
17.0                             0.1783                           0.70819                          0.3212                           0.32906                          0.7076                           
18.0                             0.1684                           0.67232                          0.30848                          0.3135                           0.67033                          
19.0                             0.15953                          0.63806                          0.29595                          0.30231                          0.6409                           
20.0                             0.15156                          0.61233                          0.28366                          0.28908                          0.61141                          
21.0                             0.14434                          0.58452                          0.27047                          0.27666                          0.58321                          
22.0                             0.13778                          0.55781                          0.25938                          0.26565                          0.55852                          
23.0                             0.13179                          0.53516                          0.24808                          0.25512                          0.53669                          
24.0                             0.1263                           0.51106                          0.23932                          0.24486                          0.51058                          
25.0                             0.12125                          0.49592                          0.23078                          0.23574                          0.49331                          
26.0                             0.11658                          0.47724                          0.22328                          0.22858                          0.47759                          
27.0                             0.11227                          0.4598                           0.21468                          0.22075                          0.45792                          
28.0                             0.10826                          0.44085                          0.20706                          0.21092                          0.44018                          
29.0                             0.10452                          0.42542                          0.20054                          0.20648                          0.42809                          
30.0                             0.10104                          0.4122                           0.19504                          0.19941                          0.41424                          
