# caida-sj12-opp
# Q-W=16-16
# 99^{th}\% latency (cycles) (max)
# Pipeline depth (clock cycles)  * (global)                       5-tuple                          ipdst                            ipdst/16                         ipsrc,ipdst                      
1.0                              0.0                              0.0                              0.0                              0.0                              0.0                              
2.0                              236.96                           5                                79.0                             72.0                             5.0                              
3.0                              7528.12                          16.0                             764.0                            737.0                            16.0                             
4.0                              ?                                32.0                             8291.0                           7323.0                           32.0                             
5.0                              ?                                53.0                             ?                                ?                                52.0                             
6.0                              ?                                75.0                             ?                                ?                                76.0                             
7.0                              ?                                100.0                            ?                                ?                                100.02                           
8.0                              ?                                123.0                            ?                                ?                                122.02                           
9.0                              ?                                147.0                            ?                                ?                                147.0                            
10.0                             ?                                171.0                            ?                                ?                                171.0                            
11.0                             ?                                202.0                            ?                                ?                                203.0                            
12.0                             ?                                235.0                            ?                                ?                                250.0                            
13.0                             ?                                272.06                           ?                                ?                                296.0                            
14.0                             ?                                308.0                            ?                                ?                                333.01                           
15.0                             ?                                345.0                            ?                                ?                                374.01                           
16.0                             ?                                383.0                            ?                                ?                                418.01                           
17.0                             ?                                424.0                            ?                                ?                                469.0                            
18.0                             ?                                468.0                            ?                                ?                                518.0                            
19.0                             ?                                513.08                           ?                                ?                                569.0                            
20.0                             ?                                561.0                            ?                                ?                                623.01                           
21.0                             ?                                618.0                            ?                                ?                                693.0                            
22.0                             ?                                677.0                            ?                                ?                                749.0                            
23.0                             ?                                735.22                           ?                                ?                                812.0                            
24.0                             ?                                791.11                           ?                                ?                                880.01                           
25.0                             ?                                855.11                           ?                                ?                                943.02                           
26.0                             ?                                919.12                           ?                                ?                                1007.0                           
27.0                             ?                                982.6                            ?                                ?                                1073.02                          
28.0                             ?                                1047.24                          ?                                ?                                1132.01                          
29.0                             ?                                1119.39                          ?                                ?                                1205.0                           
30.0                             ?                                1198.0                           ?                                ?                                1339.0                           
