# caida-sj12-opp
# Q-W=8-16
# 99^{th}\% max queue occupancy (max)
# Pipeline depth (clock cycles)  * (global)                       5-tuple                          ipdst                            ipdst/16                         ipsrc,ipdst                      
1.0                              1.0                              1.0                              1.0                              1.0                              1.0                              
2.0                              119.0                            3.0                              43.0                             42.0                             3.0                              
3.0                              2510.0                           7.0                              317.0                            311.0                            7.0                              
4.0                              ?                                12.0                             2091.0                           1888.0                           12.0                             
5.0                              ?                                17.0                             ?                                ?                                16.0                             
6.0                              ?                                21.0                             ?                                ?                                21.0                             
7.0                              ?                                26.0                             ?                                ?                                26.0                             
8.0                              ?                                29.0                             ?                                ?                                30.0                             
9.0                              ?                                33.0                             ?                                ?                                33.0                             
10.0                             ?                                36.0                             ?                                ?                                36.0                             
11.0                             ?                                39.0                             ?                                ?                                39.0                             
12.0                             ?                                43.0                             ?                                ?                                47.0                             
13.0                             ?                                51.0                             ?                                ?                                56.0                             
14.0                             ?                                61.0                             ?                                ?                                62.0                             
15.0                             ?                                67.0                             ?                                ?                                67.0                             
16.0                             ?                                70.0                             ?                                ?                                78.0                             
17.0                             ?                                75.0                             ?                                ?                                105.0                            
18.0                             ?                                83.0                             ?                                ?                                128.0                            
19.0                             ?                                97.0                             ?                                ?                                143.0                            
20.0                             ?                                115.0                            ?                                ?                                159.0                            
21.0                             ?                                125.0                            ?                                ?                                175.0                            
22.0                             ?                                135.0                            ?                                ?                                191.0                            
23.0                             ?                                150.0                            ?                                ?                                210.0                            
24.0                             ?                                162.0                            ?                                ?                                232.0                            
25.0                             ?                                179.0                            ?                                ?                                255.0                            
26.0                             ?                                197.0                            ?                                ?                                276.0                            
27.0                             ?                                217.0                            ?                                ?                                376.0                            
28.0                             ?                                235.0                            ?                                ?                                522.0                            
29.0                             ?                                256.0                            ?                                ?                                662.0                            
30.0                             ?                                282.0                            ?                                ?                                809.0                            
