# caida-sj12-opp
# Q-W=16-16
# 99^{th}\% queue occupancy sum (max)
# Pipeline depth (clock cycles)  * (global)                       5-tuple                          ipdst                            ipdst/16                         
1.0                              1.0                              1.0                              1.0                              1.0                              
2.0                              119.0                            3.0                              43.0                             40.0                             
3.0                              2510.0                           7.0                              312.0                            307.0                            
4.0                              95181.0                          12.0                             2061.0                           1828.0                           
5.0                              39288.0                          17.0                             53459.0                          49690.01                         
6.0                              90033.0                          21.0                             92557.0                          88327.0                          
7.0                              87630.0                          25.0                             90960.0                          88641.0                          
8.0                              89228.0                          29.0                             51474.0                          50738.0                          
9.0                              74716.0                          32.01                            63343.0                          58083.0                          
10.0                             94716.0                          36.0                             88504.01                         83314.0                          
11.0                             91378.01                         39.0                             68271.0                          62632.0                          
12.0                             74084.0                          41.0                             89323.0                          83714.0                          
13.0                             76000.0                          45.0                             84030.0                          74707.0                          
14.0                             77643.0                          50.0                             97405.0                          88092.0                          
15.0                             79066.01                         54.0                             74086.0                          68437.01                         
16.0                             80312.0                          58.0                             85529.0                          79967.0                          
17.0                             81412.0                          63.0                             81047.01                         90912.0                          
18.0                             82389.0                          68.0                             89959.0                          82444.0                          
19.0                             83263.0                          72.0                             94736.0                          90291.01                         
20.0                             84050.0                          77.0                             58305.0                          92064.0                          
21.0                             84762.0                          82.0                             66100.0                          57319.0                          
22.0                             85409.0                          86.0                             73148.0                          57962.0                          
23.0                             86000.0                          91.0                             79601.0                          63132.0                          
24.0                             86541.01                         94.0                             85500.0                          69016.0                          
25.0                             87040.0                          105.0                            90967.01                         74497.0                          
26.0                             87500.0                          117.0                            95989.0                          79520.0                          
27.0                             87926.0                          126.0                            61386.0                          84175.0                          
28.0                             88321.0                          133.0                            61781.0                          88496.0                          
29.0                             88689.01                         140.0                            62148.0                          92530.0                          
30.0                             89033.0                          152.0                            62490.0                          96287.0                          
