# caida-sj12-opp
# Q-W=8-16
# 99^{th}\% queue occupancy sum (max)
# Pipeline depth (clock cycles)  * (global)                       5-tuple                          ipdst                            ipdst/16                         ipsrc,ipdst                      
1.0                              1.0                              1.0                              1.0                              1.0                              1.0                              
2.0                              119.0                            3.0                              43.0                             43.0                             3.0                              
3.0                              2510.0                           8.0                              317.0                            312.0                            7.0                              
4.0                              ?                                12.0                             2092.0                           1888.0                           12.0                             
5.0                              ?                                17.0                             ?                                ?                                17.0                             
6.0                              ?                                22.0                             ?                                ?                                22.0                             
7.0                              ?                                26.0                             ?                                ?                                26.0                             
8.0                              ?                                30.0                             ?                                ?                                30.0                             
9.0                              ?                                33.0                             ?                                ?                                33.0                             
10.0                             ?                                37.0                             ?                                ?                                37.0                             
11.0                             ?                                40.0                             ?                                ?                                40.0                             
12.0                             ?                                46.0                             ?                                ?                                47.0                             
13.0                             ?                                58.0                             ?                                ?                                57.0                             
14.0                             ?                                66.01                            ?                                ?                                63.0                             
15.0                             ?                                72.0                             ?                                ?                                73.0                             
16.0                             ?                                78.0                             ?                                ?                                84.0                             
17.0                             ?                                83.0                             ?                                ?                                108.0                            
18.0                             ?                                93.0                             ?                                ?                                136.0                            
19.0                             ?                                114.0                            ?                                ?                                155.0                            
20.0                             ?                                130.0                            ?                                ?                                173.0                            
21.0                             ?                                146.0                            ?                                ?                                197.0                            
22.0                             ?                                163.0                            ?                                ?                                219.0                            
23.0                             ?                                182.0                            ?                                ?                                256.0                            
24.0                             ?                                198.0                            ?                                ?                                305.0                            
25.0                             ?                                219.0                            ?                                ?                                359.0                            
26.0                             ?                                256.0                            ?                                ?                                416.0                            
27.0                             ?                                307.0                            ?                                ?                                556.0                            
28.0                             ?                                372.0                            ?                                ?                                761.0                            
29.0                             ?                                471.0                            ?                                ?                                984.0                            
30.0                             ?                                619.0                            ?                                ?                                1263.0                           
