# imc1-opp-dim
# quelen-Q-W=10-8-16
# 99^{th}\% latency (cycles) (max)
# Pipeline depth (clock cycles)  * (global)                       5-tuple                          ipdst                            ipdst/16                         ipsrc,ipdst                      
1.0                              0.0                              0.0                              0.0                              0.0                              0.0                              
2.0                              18.0                             14.0                             14.0                             15.0                             14.0                             
3.0                              29.0                             22.0                             24.0                             27.0                             22.0                             
4.0                              39.0                             31.0                             33.0                             39.0                             31.0                             
5.0                              49.0                             39.0                             41.0                             49.0                             39.0                             
6.0                              59.0                             48.0                             50.0                             59.0                             47.92                            
7.0                              69.0                             56.0                             60.0                             69.03                            56.0                             
8.0                              79.0                             65.0                             70.0                             79.0                             65.0                             
9.0                              89.0                             73.0                             80.0                             89.0                             74.0                             
10.0                             99.0                             82.0                             90.0                             99.0                             83.0                             
11.0                             109.0                            90.0                             100.0                            109.0                            91.0                             
12.0                             119.0                            99.0                             110.0                            119.0                            100.0                            
13.0                             129.0                            108.0                            120.0                            129.0                            110.0                            
14.0                             139.0                            118.0                            130.0                            139.0                            123.0                            
15.0                             149.0                            130.0                            141.0                            149.0                            134.0                            
16.0                             159.0                            143.0                            152.0                            159.0                            147.0                            
17.0                             169.0                            156.0                            162.0                            169.0                            160.0                            
18.0                             179.0                            171.0                            174.0                            179.0                            171.0                            
19.0                             189.0                            185.0                            186.0                            189.0                            184.0                            
20.0                             199.0                            198.0                            197.0                            199.0                            199.0                            
21.0                             209.0                            209.0                            208.0                            209.0                            209.0                            
22.0                             219.0                            219.0                            218.0                            219.0                            219.0                            
23.0                             229.0                            229.0                            228.0                            229.0                            229.0                            
24.0                             239.0                            239.0                            238.0                            239.0                            239.0                            
25.0                             249.0                            249.0                            249.0                            249.0                            249.0                            
26.0                             259.0                            259.0                            259.0                            259.0                            259.0                            
27.0                             269.0                            269.0                            268.0                            269.0                            269.0                            
28.0                             279.0                            279.0                            278.0                            279.0                            279.0                            
29.0                             289.0                            289.0                            289.0                            289.0                            289.0                            
30.0                             299.0                            299.0                            298.0                            299.0                            299.0                            
