# imc1-opp-dim
# quelen-Q-W=10-4-16
# Throughput (min)
# Pipeline depth (clock cycles)  * (global)                       5-tuple                          ipdst                            ipdst/16                         ipsrc,ipdst                      
1.0                              1.0                              1.0                              1.0                              1.0                              1.0                              
2.0                              0.99162                          0.99258                          0.99256                          0.99241                          0.99266                          
3.0                              0.96614                          0.98855                          0.98838                          0.98811                          0.98866                          
4.0                              0.90041                          0.98614                          0.98582                          0.98304                          0.98629                          
5.0                              0.83889                          0.98417                          0.98379                          0.97038                          0.98421                          
6.0                              0.78084                          0.98267                          0.98215                          0.95012                          0.98246                          
7.0                              0.72984                          0.9814                           0.97897                          0.92982                          0.98105                          
8.0                              0.68369                          0.98038                          0.97513                          0.91003                          0.9791                           
9.0                              0.64002                          0.97946                          0.97092                          0.8905                           0.9763                           
10.0                             0.5991                           0.97797                          0.96679                          0.87211                          0.97315                          
11.0                             0.56123                          0.97616                          0.9621                           0.85378                          0.96997                          
12.0                             0.52418                          0.97467                          0.95661                          0.83552                          0.96653                          
13.0                             0.48821                          0.97295                          0.95093                          0.81677                          0.96285                          
14.0                             0.45497                          0.96993                          0.94476                          0.79769                          0.95887                          
15.0                             0.42503                          0.9669                           0.93824                          0.77905                          0.95433                          
16.0                             0.39864                          0.96343                          0.93143                          0.76004                          0.94919                          
17.0                             0.3753                           0.95941                          0.92391                          0.74147                          0.94331                          
18.0                             0.35445                          0.95104                          0.91301                          0.72179                          0.9339                           
19.0                             0.33579                          0.93897                          0.89429                          0.70184                          0.92417                          
20.0                             0.319                            0.92501                          0.87478                          0.68224                          0.91182                          
21.0                             0.30381                          0.91078                          0.82461                          0.66272                          0.89865                          
22.0                             0.29                             0.89602                          0.78533                          0.64441                          0.88485                          
23.0                             0.27739                          0.88199                          0.7416                           0.6273                           0.87106                          
24.0                             0.26584                          0.86689                          0.70886                          0.61109                          0.85636                          
25.0                             0.2552                           0.85357                          0.67769                          0.59526                          0.84228                          
26.0                             0.24539                          0.83917                          0.65104                          0.58012                          0.82789                          
27.0                             0.2363                           0.8254                           0.62827                          0.56648                          0.81471                          
28.0                             0.22786                          0.81168                          0.60697                          0.55296                          0.80129                          
29.0                             0.22                             0.7987                           0.58968                          0.54039                          0.78778                          
30.0                             0.21267                          0.78592                          0.57237                          0.52758                          0.77404                          
