# imc1-opp-dim
# quelen-Q-W=100-16-16
# Fract. packets dropped (99^{th}%)
# Pipeline depth (clock cycles)  * (global)                       5-tuple                          ipdst                            ipdst/16                         ipsrc,ipdst                      
1.0                              0.0                              0.0                              0.0                              0.0                              0.0                              
2.0                              0.00174                          0.001016                         0.000974                         0.001136                         0.000982                         
3.0                              0.006002                         0.004648                         0.004686                         0.004968                         0.0046                           
4.0                              0.015648                         0.007066                         0.007166                         0.00749                          0.007022                         
5.0                              0.055218                         0.0088                           0.008996                         0.009456                         0.008748                         
6.0                              0.114924                         0.010022                         0.010236                         0.011516                         0.010006                         
7.0                              0.182442                         0.01095                          0.011178                         0.014366                         0.0109                           
8.0                              0.24868                          0.011704                         0.011948                         0.022622                         0.011646                         
9.0                              0.311936                         0.012316                         0.012544                         0.035094                         0.01225                          
10.0                             0.368256                         0.012776                         0.01302                          0.048524                         0.012718                         
11.0                             0.417916                         0.013184                         0.013436                         0.061992                         0.013126                         
12.0                             0.464242                         0.013694                         0.013812                         0.076166                         0.013494                         
13.0                             0.505304                         0.014184                         0.01413                          0.090738                         0.013804                         
14.0                             0.540566                         0.014614                         0.014392                         0.106112                         0.014066                         
15.0                             0.571126                         0.014978                         0.01462                          0.123576                         0.014302                         
16.0                             0.597866                         0.01531                          0.01488                          0.1418                           0.014506                         
17.0                             0.621464                         0.01562                          0.015132                         0.161048                         0.014686                         
18.0                             0.642432                         0.016368                         0.015394                         0.17997                          0.015032                         
19.0                             0.661202                         0.019444                         0.0158                           0.19827                          0.015458                         
20.0                             0.678092                         0.022384                         0.017272                         0.216744                         0.016034                         
21.0                             0.693372                         0.027974                         0.02968                          0.235834                         0.025652                         
22.0                             0.707266                         0.04178                          0.05012                          0.253918                         0.0447                           
23.0                             0.71995                          0.060032                         0.068796                         0.27107                          0.064518                         
24.0                             0.731572                         0.078006                         0.086154                         0.287342                         0.083354                         
25.0                             0.742274                         0.095324                         0.102784                         0.30375                          0.100788                         
26.0                             0.752144                         0.11173                          0.118226                         0.319484                         0.117206                         
27.0                             0.761288                         0.12702                          0.133154                         0.334546                         0.132518                         
28.0                             0.769778                         0.141474                         0.14811                          0.348816                         0.147034                         
29.0                             0.777684                         0.155076                         0.162204                         0.362272                         0.160716                         
30.0                             0.785058                         0.16781                          0.175406                         0.375018                         0.173528                         
