# imc1-opp-dim
# quelen-Q-W=100-8-16
# 99^{th}\% queue occupancy sum (max)
# Pipeline depth (clock cycles)  * (global)                       5-tuple                          ipdst                            ipdst/16                         ipsrc,ipdst                      
1.0                              1.0                              1.0                              1.0                              1.0                              1.0                              
2.0                              80.0                             71.01                            71.0                             73.0                             71.0                             
3.0                              100.0                            96.01                            97.0                             98.0                             96.01                            
4.0                              100.0                            100.0                            100.0                            100.0                            100.0                            
5.0                              100.0                            100.0                            100.0                            100.0                            100.0                            
6.0                              100.0                            100.0                            100.0                            100.0                            100.0                            
7.0                              100.0                            100.0                            100.0                            101.0                            100.0                            
8.0                              100.0                            100.0                            100.0                            104.0                            100.0                            
9.0                              100.0                            100.0                            100.0                            115.0                            100.0                            
10.0                             100.0                            100.0                            100.0                            128.0                            100.0                            
11.0                             100.0                            100.0                            100.0                            156.0                            100.0                            
12.0                             100.0                            100.0                            100.0                            194.0                            100.0                            
13.0                             100.0                            100.0                            100.0                            198.0                            100.0                            
14.0                             100.0                            100.0                            102.0                            199.0                            100.0                            
15.0                             100.0                            100.0                            110.0                            200.0                            100.0                            
16.0                             100.0                            100.0                            118.01                           200.0                            105.0                            
17.0                             100.0                            104.0                            133.0                            200.0                            132.0                            
18.0                             100.0                            137.0                            162.0                            201.0                            171.0                            
19.0                             100.0                            199.0                            210.0                            202.0                            202.0                            
20.0                             100.0                            241.0                            263.0                            215.0                            224.0                            
21.0                             100.0                            271.0                            286.0                            228.0                            248.0                            
22.0                             100.0                            306.0                            293.0                            242.0                            270.0                            
23.0                             100.0                            340.0                            298.0                            255.0                            291.0                            
24.0                             100.0                            367.0                            300.0                            276.0                            296.0                            
25.0                             100.0                            382.0                            308.0                            283.0                            298.0                            
26.0                             100.0                            390.0                            315.0                            285.0                            299.0                            
27.0                             100.0                            395.0                            320.0                            290.0                            300.0                            
28.0                             100.0                            399.0                            323.0                            294.0                            301.0                            
29.0                             100.0                            399.0                            329.0                            296.0                            302.0                            
30.0                             100.0                            400.0                            338.0                            297.0                            309.0                            
