# imc1-opp
# Q-W=4-16
# 99^{th}\% latency (cycles) (max)
# Pipeline depth (clock cycles)  * (global)                       5-tuple                          ipdst                            ipdst/16                         ipsrc,ipdst                      
1.0                              0.0                              0.0                              0.0                              0.0                              0.0                              
2.0                              221.0                            173.0                            169.0                            179.01                           170.0                            
3.0                              899.0                            688.0                            713.0                            727.0                            680.0                            
4.0                              2662.0                           1249.0                           1328.01                          1320.01                          1232.0                           
5.0                              12469.18                         1863.02                          2049.0                           2038.02                          1809.01                          
6.0                              41104.0                          2543.01                          2757.03                          2744.02                          2427.0                           
7.0                              ?                                3210.03                          3543.01                          4885.0                           3039.01                          
8.0                              ?                                3927.0                           4372.03                          9987.0                           3703.02                          
9.0                              ?                                4644.01                          5282.02                          17258.32                         4381.04                          
10.0                             ?                                5329.04                          6135.05                          25517.48                         5020.03                          
11.0                             ?                                6038.0                           7034.0                           41819.0                          5682.04                          
12.0                             ?                                6769.05                          7980.02                          58206.0                          6348.01                          
13.0                             ?                                7580.22                          9004.06                          83092.54                         7022.08                          
14.0                             ?                                8320.0                           10025.04                         109455.33                        7710.14                          
15.0                             ?                                9160.2                           10979.22                         135964.6                         8524.08                          
16.0                             ?                                9968.06                          11944.1                          ?                                9265.1                           
17.0                             ?                                10779.02                         12946.06                         ?                                10164.05                         
18.0                             ?                                12331.16                         13850.12                         ?                                10869.0                          
19.0                             ?                                16786.36                         14906.06                         ?                                12225.45                         
20.0                             ?                                23482.76                         ?                                ?                                20661.09                         
21.0                             ?                                54160.9                          ?                                ?                                56076.0                          
22.0                             ?                                ?                                ?                                ?                                ?                                
23.0                             ?                                ?                                ?                                ?                                ?                                
24.0                             ?                                ?                                ?                                ?                                ?                                
25.0                             ?                                ?                                ?                                ?                                ?                                
26.0                             ?                                ?                                ?                                ?                                ?                                
27.0                             ?                                ?                                ?                                ?                                ?                                
28.0                             ?                                ?                                ?                                ?                                ?                                
29.0                             ?                                ?                                ?                                ?                                ?                                
30.0                             ?                                ?                                ?                                ?                                ?                                
