# imc1-opp
# Q-W=4-16
# 99^{th}\% queue occupancy sum (max)
# Pipeline depth (clock cycles)  * (global)                       5-tuple                          ipdst                            ipdst/16                         ipsrc,ipdst                      
1.0                              1.0                              1.0                              1.0                              1.0                              1.0                              
2.0                              111.0                            91.0                             88.0                             93.0                             89.0                             
3.0                              300.0                            249.0                            250.0                            255.0                            247.0                            
4.0                              666.0                            357.0                            370.0                            372.0                            356.0                            
5.0                              2494.0                           452.01                           475.0                            476.0                            446.01                           
6.0                              6851.0                           527.0                            549.0                            547.0                            516.0                            
7.0                              ?                                580.0                            600.0                            719.0                            569.01                           
8.0                              ?                                622.0                            641.0                            1297.0                           612.0                            
9.0                              ?                                653.0                            680.0                            1985.0                           645.0                            
10.0                             ?                                681.0                            714.01                           2591.0                           669.01                           
11.0                             ?                                705.0                            748.0                            3847.0                           693.0                            
12.0                             ?                                736.0                            778.0                            5109.0                           717.0                            
13.0                             ?                                762.0                            810.0                            6878.0                           741.0                            
14.0                             ?                                784.0                            837.0                            8430.0                           762.01                           
15.0                             ?                                799.01                           861.0                            9832.0                           781.0                            
16.0                             ?                                817.01                           885.0                            ?                                797.0                            
17.0                             ?                                833.0                            906.0                            ?                                810.0                            
18.0                             ?                                888.01                           925.0                            ?                                1014.0                           
19.0                             ?                                1164.0                           1165.0                           ?                                1285.0                           
20.0                             ?                                1537.0                           ?                                ?                                1567.0                           
21.0                             ?                                2665.0                           ?                                ?                                2796.0                           
22.0                             ?                                ?                                ?                                ?                                ?                                
23.0                             ?                                ?                                ?                                ?                                ?                                
24.0                             ?                                ?                                ?                                ?                                ?                                
25.0                             ?                                ?                                ?                                ?                                ?                                
26.0                             ?                                ?                                ?                                ?                                ?                                
27.0                             ?                                ?                                ?                                ?                                ?                                
28.0                             ?                                ?                                ?                                ?                                ?                                
29.0                             ?                                ?                                ?                                ?                                ?                                
30.0                             ?                                ?                                ?                                ?                                ?                                
