# imc2-opp
# Q-W=8-16
# 99^{th}\% max queue occupancy (max)
# Pipeline depth (clock cycles)  * (global)                       5-tuple                          ipdst                            ipdst/16                         ipsrc,ipdst                      
1.0                              1.0                              1.0                              1.0                              1.0                              1.0                              
2.0                              42.0                             1.0                              2.0                              42.0                             1.0                              
3.0                              16813.0                          5.0                              45.0                             16776.01                         40.0                             
4.0                              26237.0                          140.0                            1512.0                           26196.0                          136.0                            
5.0                              ?                                267.0                            3387.0                           ?                                252.0                            
6.0                              ?                                347.0                            4773.0                           ?                                346.0                            
7.0                              ?                                427.0                            5826.0                           ?                                427.0                            
8.0                              ?                                498.0                            7269.0                           ?                                521.0                            
9.0                              ?                                647.0                            9006.0                           ?                                633.0                            
10.0                             ?                                820.0                            10380.0                          ?                                785.0                            
11.0                             ?                                985.0                            ?                                ?                                1085.0                           
12.0                             ?                                1153.0                           ?                                ?                                1356.0                           
13.0                             ?                                1333.0                           ?                                ?                                1571.0                           
14.0                             ?                                1477.0                           ?                                ?                                1762.01                          
15.0                             ?                                1613.0                           ?                                ?                                2004.0                           
16.0                             ?                                1954.0                           ?                                ?                                2205.0                           
17.0                             ?                                2845.0                           ?                                ?                                2379.0                           
18.0                             ?                                4020.0                           ?                                ?                                2567.0                           
19.0                             ?                                ?                                ?                                ?                                2724.0                           
20.0                             ?                                ?                                ?                                ?                                2882.0                           
21.0                             ?                                ?                                ?                                ?                                ?                                
22.0                             ?                                ?                                ?                                ?                                ?                                
23.0                             ?                                ?                                ?                                ?                                ?                                
24.0                             ?                                ?                                ?                                ?                                ?                                
25.0                             ?                                ?                                ?                                ?                                ?                                
26.0                             ?                                ?                                ?                                ?                                ?                                
27.0                             ?                                ?                                ?                                ?                                ?                                
28.0                             ?                                ?                                ?                                ?                                ?                                
29.0                             ?                                ?                                ?                                ?                                ?                                
30.0                             ?                                ?                                ?                                ?                                ?                                
