# imc2-opp
# Q-W=1-16
# Throughput (min)
# Pipeline depth (clock cycles)  * (global)                       5-tuple                          ipdst                            ipdst/16                         ipsrc,ipdst                      
1.0                              1.0                              1.0                              1.0                              1.0                              1.0                              
2.0                              0.99997                          0.99999                          0.99999                          0.99998                          0.99999                          
3.0                              0.86007                          0.99997                          0.99958                          0.86025                          0.99997                          
4.0                              0.78513                          0.99995                          0.96523                          0.78526                          0.99993                          
5.0                              0.73989                          0.99961                          0.8967                           0.74002                          0.99952                          
6.0                              0.70091                          0.99929                          0.84328                          0.70118                          0.99915                          
7.0                              0.65354                          0.98998                          0.80535                          0.65831                          0.98747                          
8.0                              0.59302                          0.94989                          0.77765                          0.59861                          0.94877                          
9.0                              0.52712                          0.9152                           0.75469                          0.53315                          0.91456                          
10.0                             0.47442                          0.88528                          0.73446                          0.4819                           0.88509                          
11.0                             0.43129                          0.8605                           0.69799                          0.43768                          0.85256                          
12.0                             0.39535                          0.8275                           0.66013                          0.3974                           0.78532                          
13.0                             0.36493                          0.76954                          0.62802                          0.36703                          0.72477                          
14.0                             0.33887                          0.72411                          0.59438                          0.341                            0.67651                          
15.0                             0.31628                          0.64307                          0.53072                          0.31887                          0.5929                           
16.0                             0.2965                           0.55005                          0.47016                          0.3041                           0.52617                          
17.0                             0.27907                          0.50433                          0.44726                          0.28703                          0.48889                          
18.0                             0.26357                          0.46525                          0.43445                          0.27171                          0.45822                          
19.0                             0.24969                          0.43011                          0.41336                          0.25798                          0.43114                          
20.0                             0.23721                          0.41086                          0.39105                          0.2402                           0.41404                          
21.0                             0.22591                          0.38971                          0.37335                          0.22832                          0.39112                          
22.0                             0.21564                          0.37208                          0.35519                          0.21806                          0.37278                          
23.0                             0.20626                          0.35458                          0.33795                          0.20879                          0.35694                          
24.0                             0.19767                          0.33813                          0.31735                          0.20055                          0.34059                          
25.0                             0.18977                          0.32497                          0.30862                          0.19234                          0.3222                           
26.0                             0.18247                          0.31099                          0.29531                          0.18542                          0.30969                          
27.0                             0.1757                           0.29757                          0.28685                          0.17886                          0.29624                          
28.0                             0.16944                          0.28782                          0.26575                          0.17266                          0.28719                          
29.0                             0.16359                          0.28221                          0.25894                          0.16663                          0.27748                          
30.0                             0.15814                          0.27264                          0.25468                          0.16067                          0.27057                          
