# mawi15-opp-dim
# quelen-Q-W=10-4-16
# Throughput (min)
# Pipeline depth (clock cycles)  * (global)                       5-tuple                          ipdst                            ipdst/16                         ipsrc,ipdst                      
1.0                              1.0                              1.0                              1.0                              1.0                              1.0                              
2.0                              0.96                             0.99744                          0.99722                          0.99244                          0.9974                           
3.0                              0.90559                          0.99482                          0.99348                          0.97345                          0.99495                          
4.0                              0.85383                          0.99287                          0.99017                          0.9552                           0.99302                          
5.0                              0.79817                          0.99095                          0.98692                          0.93654                          0.99134                          
6.0                              0.73793                          0.98936                          0.98316                          0.91671                          0.98971                          
7.0                              0.6775                           0.98784                          0.9789                           0.89589                          0.98815                          
8.0                              0.61936                          0.98647                          0.97401                          0.87493                          0.98579                          
9.0                              0.56545                          0.98509                          0.97452                          0.85315                          0.98169                          
10.0                             0.51693                          0.98257                          0.97119                          0.8311                           0.97725                          
11.0                             0.47354                          0.97984                          0.96979                          0.80911                          0.97192                          
12.0                             0.43564                          0.97652                          0.96365                          0.78759                          0.96693                          
13.0                             0.40259                          0.97307                          0.95683                          0.76669                          0.96104                          
14.0                             0.3739                           0.9688                           0.94924                          0.74652                          0.95463                          
15.0                             0.34898                          0.96453                          0.94188                          0.72682                          0.9479                           
16.0                             0.32717                          0.96                             0.93349                          0.70784                          0.93994                          
17.0                             0.30793                          0.95486                          0.92393                          0.68908                          0.9318                           
18.0                             0.29082                          0.94883                          0.91364                          0.67023                          0.92289                          
19.0                             0.27552                          0.94241                          0.90234                          0.65193                          0.91338                          
20.0                             0.26174                          0.93479                          0.89081                          0.63382                          0.90257                          
21.0                             0.24928                          0.92622                          0.87779                          0.61564                          0.89056                          
22.0                             0.23795                          0.91663                          0.86437                          0.5982                           0.87844                          
23.0                             0.2276                           0.90638                          0.8507                           0.58065                          0.86565                          
24.0                             0.21812                          0.89422                          0.83661                          0.56461                          0.85166                          
25.0                             0.2094                           0.88287                          0.8214                           0.54974                          0.83827                          
26.0                             0.20134                          0.87077                          0.80737                          0.53496                          0.82402                          
27.0                             0.19389                          0.859                            0.79288                          0.52164                          0.81015                          
28.0                             0.18696                          0.84564                          0.77906                          0.50884                          0.79592                          
29.0                             0.18051                          0.83308                          0.76496                          0.49592                          0.78156                          
30.0                             0.1745                           0.82075                          0.75173                          0.48424                          0.76844                          
