# mawi15-opp-dim
# quelen-Q-W=100-16-16
# Fract. packets dropped (99^{th}%)
# Pipeline depth (clock cycles)  * (global)                       5-tuple                          ipdst                            ipdst/16                         ipsrc,ipdst                      
1.0                              0.0                              0.0                              0.0                              0.0                              0.0                              
2.0                              8.6e-06                          0.0                              0.0                              0.0                              0.0                              
3.0                              0.0011012                        0.0001634                        0.000172                         0.0002064                        0.0001634                        
4.0                              0.0067724                        0.0005246                        0.0005418                        0.0006192                        0.0005246                        
5.0                              0.042353                         0.0009976                        0.0010406                        0.0010476                        0.0009718                        
6.0                              0.127299                         0.0014018                        0.001419                         0.0015862                        0.0013674                        
7.0                              0.227792                         0.0016856                        0.0017028                        0.0025232                        0.0016426                        
8.0                              0.325571                         0.001892                         0.0019092                        0.0070216                        0.0018576                        
9.0                              0.4103952                        0.0020726                        0.0020812                        0.022418                         0.0020296                        
10.0                             0.4688132                        0.0022016                        0.0022102                        0.042166                         0.0021586                        
11.0                             0.5169292                        0.0023146                        0.002322                         0.064929                         0.0022704                        
12.0                             0.5570748                        0.002433                         0.002475                         0.088951                         0.0023564                        
13.0                             0.5910642                        0.0025328                        0.0026666                        0.114152                         0.0024436                        
14.0                             0.6202012                        0.0026714                        0.002927                         0.138243                         0.0025406                        
15.0                             0.6454478                        0.0028602                        0.003209                         0.160612                         0.0026936                        
16.0                             0.6675436                        0.0030276                        0.003438                         0.180163                         0.0028366                        
17.0                             0.6870358                        0.0031606                        0.0036484                        0.198957                         0.0029782                        
18.0                             0.70437                          0.0033008                        0.004121                         0.216594                         0.0031098                        
19.0                             0.7198706                        0.0034138                        0.0045888                        0.233558                         0.0032042                        
20.0                             0.733831                         0.0035254                        0.005051                         0.2572427                        0.0033172                        
21.0                             0.7464544                        0.0036198                        0.0054768                        0.2754592                        0.003393                         
22.0                             0.7579328                        0.0037128                        0.0059134                        0.2942916                        0.0034788                        
23.0                             0.7684182                        0.0037972                        0.0064326                        0.3118486                        0.0035718                        
24.0                             0.7780226                        0.0038644                        0.0071046                        0.3298582                        0.0036432                        
25.0                             0.7868568                        0.0039388                        0.009351                         0.3459038                        0.003741                         
26.0                             0.7950222                        0.0040118                        0.0119972                        0.3608142                        0.0040076                        
27.0                             0.80258                          0.0040776                        0.014915                         0.3886646                        0.0043572                        
28.0                             0.8095908                        0.004152                         0.0178882                        0.402341                         0.0061696                        
29.0                             0.816125                         0.0042278                        0.0211754                        0.4151652                        0.008359                         
30.0                             0.822214                         0.0042792                        0.0243607                        0.4272002                        0.0108938                        
