# mawi15-opp-dim
# quelen-Q-W=100-1-16
# 99^{th}\% latency (cycles) (max)
# Pipeline depth (clock cycles)  * (global)                       5-tuple                          ipdst                            ipdst/16                         ipsrc,ipdst                      
1.0                              0.0                              0.0                              0.0                              0.0                              0.0                              
2.0                              60.08                            18.0                             20.0                             35.0                             18.0                             
3.0                              204.0                            42.0                             48.0                             100.0                            48.0                             
4.0                              379.0                            81.11                            90.0                             204.0                            93.0                             
5.0                              499.0                            137.0                            150.0                            316.0                            160.0                            
6.0                              599.0                            193.0                            223.0                            417.0                            229.0                            
7.0                              699.0                            256.0                            305.0                            515.0                            309.0                            
8.0                              799.0                            327.0                            380.04                           605.0                            379.0                            
9.0                              899.0                            422.0                            468.45                           681.0                            459.0                            
10.0                             999.0                            504.0                            586.0                            755.0                            519.0                            
11.0                             1099.0                           599.5                            691.0                            827.7                            620.79                           
12.0                             1199.0                           688.0                            781.0                            900.0                            685.0                            
13.0                             1299.0                           772.0                            853.0                            974.0                            769.0                            
14.0                             1399.0                           844.0                            877.0                            1043.0                           856.0                            
15.0                             1499.0                           881.0                            956.0                            1114.0                           884.0                            
16.0                             1599.0                           956.0                            1045.0                           1180.0                           959.0                            
17.0                             1699.0                           1043.0                           1143.0                           1273.0                           1055.0                           
18.0                             1799.0                           1139.0                           1230.0                           1367.0                           1143.0                           
19.0                             1899.0                           1218.0                           1319.0                           1491.01                          1231.0                           
20.0                             1999.0                           1315.0                           1410.0                           1575.0                           1332.0                           
21.0                             2099.0                           1417.0                           1502.21                          1689.0                           1423.0                           
22.0                             2199.0                           1522.0                           1587.0                           1768.0                           1490.0                           
23.0                             2299.0                           1613.0                           1683.0                           1886.0                           1612.0                           
24.0                             2399.0                           1714.0                           1776.0                           1988.37                          1705.0                           
25.0                             2499.0                           1807.57                          1861.0                           2057.0                           1813.0                           
26.0                             2599.0                           1897.0                           1945.0                           2138.0                           1876.35                          
27.0                             2699.0                           1965.78                          2044.0                           2232.27                          1981.0                           
28.0                             2799.0                           2037.93                          2131.91                          2307.99                          2063.0                           
29.0                             2899.0                           2160.0                           2228.0                           2439.0                           2169.78                          
30.0                             2999.0                           2251.0                           2280.0                           2530.1                           2227.0                           
