# mawi15-opp-dim
# quelen-Q-W=100-16-16
# 99^{th}\% max queue occupancy (max)
# Pipeline depth (clock cycles)  * (global)                       5-tuple                          ipdst                            ipdst/16                         
1.0                              1.0                              1.0                              1.0                              1.0                              
2.0                              31.0                             8.0                              9.0                              14.0                             
3.0                              70.0                             12.0                             13.0                             25.0                             
4.0                              100.0                            15.0                             19.0                             37.01                            
5.0                              100.0                            18.0                             23.0                             57.0                             
6.0                              100.0                            20.0                             27.0                             79.0                             
7.0                              100.0                            23.0                             31.0                             94.0                             
8.0                              100.0                            26.0                             35.0                             100.0                            
9.0                              100.0                            31.0                             43.0                             100.0                            
10.0                             100.0                            35.0                             51.0                             100.0                            
11.0                             100.0                            43.0                             61.0                             100.0                            
12.0                             100.0                            49.0                             70.0                             100.0                            
13.0                             100.0                            57.0                             79.0                             100.0                            
14.0                             100.0                            64.0                             83.0                             100.0                            
15.0                             100.0                            69.0                             86.0                             100.0                            
16.0                             100.0                            72.0                             87.0                             100.0                            
17.0                             100.0                            76.0                             91.0                             100.0                            
18.0                             100.0                            78.0                             95.0                             100.0                            
19.0                             100.0                            80.0                             96.0                             100.0                            
20.0                             100.0                            81.0                             98.0                             100.0                            
21.0                             100.0                            83.0                             99.0                             100.0                            
22.0                             100.0                            84.01                            100.0                            100.0                            
23.0                             100.0                            85.0                             100.0                            100.0                            
24.0                             100.0                            87.0                             100.0                            100.0                            
25.0                             100.0                            87.0                             100.0                            100.0                            
26.0                             100.0                            88.0                             100.0                            100.0                            
27.0                             100.0                            89.0                             100.0                            100.0                            
28.0                             100.0                            89.0                             100.0                            100.0                            
29.0                             100.0                            90.0                             100.0                            100.0                            
30.0                             100.0                            91.0                             100.0                            100.0                            
