# mawi15-opp-dim
# quelen-Q-W=100-8-16
# 99^{th}\% max queue occupancy (max)
# Pipeline depth (clock cycles)  * (global)                       5-tuple                          ipdst                            ipdst/16                         ipsrc,ipdst                      
1.0                              1.0                              1.0                              1.0                              1.0                              1.0                              
2.0                              31.0                             8.0                              9.0                              14.0                             8.0                              
3.0                              70.0                             12.0                             14.0                             25.0                             12.0                             
4.0                              100.0                            16.0                             20.0                             39.0                             16.0                             
5.0                              100.0                            19.0                             24.0                             58.0                             19.0                             
6.0                              100.0                            21.0                             28.0                             80.0                             22.0                             
7.0                              100.0                            24.0                             32.0                             95.0                             24.0                             
8.0                              100.0                            28.0                             36.0                             100.0                            28.0                             
9.0                              100.0                            33.0                             45.0                             100.0                            32.0                             
10.0                             100.0                            39.0                             54.01                            100.0                            36.01                            
11.0                             100.0                            47.0                             64.0                             100.0                            44.0                             
12.0                             100.0                            57.0                             75.0                             100.0                            51.0                             
13.0                             100.0                            65.0                             81.0                             100.0                            59.0                             
14.0                             100.0                            70.0                             85.0                             100.0                            64.0                             
15.0                             100.0                            73.0                             88.0                             100.0                            68.0                             
16.0                             100.0                            76.0                             89.0                             100.0                            71.0                             
17.0                             100.0                            80.0                             95.0                             100.0                            75.0                             
18.0                             100.0                            81.0                             97.0                             100.0                            78.0                             
19.0                             100.0                            83.0                             98.0                             100.0                            80.0                             
20.0                             100.0                            85.0                             99.0                             100.0                            82.0                             
21.0                             100.0                            86.0                             100.0                            100.0                            88.0                             
22.0                             100.0                            88.0                             100.0                            100.0                            96.0                             
23.0                             100.0                            89.0                             100.0                            100.0                            99.0                             
24.0                             100.0                            90.0                             100.0                            100.0                            100.0                            
25.0                             100.0                            91.0                             100.0                            100.0                            100.0                            
26.0                             100.0                            92.0                             100.0                            100.0                            100.0                            
27.0                             100.0                            96.0                             100.0                            100.0                            100.0                            
28.0                             100.0                            97.0                             100.0                            100.0                            100.0                            
29.0                             100.0                            98.0                             100.0                            100.0                            100.0                            
30.0                             100.0                            99.0                             100.0                            100.0                            100.0                            
