# mawi15-opp-dim
# quelen-Q-W=100-4-16
# 99^{th}\% queue occupancy sum (max)
# Pipeline depth (clock cycles)  * (global)                       5-tuple                          ipdst                            ipdst/16                         ipsrc,ipdst                      
1.0                              1.0                              1.0                              1.0                              1.0                              1.0                              
2.0                              31.0                             8.0                              10.0                             15.0                             8.0                              
3.0                              70.0                             13.0                             15.0                             27.0                             13.0                             
4.0                              100.0                            17.0                             22.0                             43.0                             18.0                             
5.0                              100.0                            21.0                             27.0                             64.0                             21.0                             
6.0                              100.0                            25.0                             31.01                            89.0                             25.0                             
7.0                              100.0                            29.0                             36.0                             100.0                            29.0                             
8.0                              100.0                            34.0                             44.0                             108.0                            34.0                             
9.0                              100.0                            41.0                             54.0                             117.0                            39.0                             
10.0                             100.0                            48.01                            64.0                             121.0                            47.01                            
11.0                             100.0                            58.0                             79.0                             131.0                            58.0                             
12.0                             100.0                            68.0                             86.0                             144.0                            68.0                             
13.0                             100.0                            73.0                             90.0                             155.0                            74.0                             
14.0                             100.0                            81.0                             98.0                             168.0                            86.0                             
15.0                             100.0                            90.0                             115.0                            183.0                            104.0                            
16.0                             100.0                            97.0                             138.0                            193.0                            125.0                            
17.0                             100.0                            103.0                            160.0                            199.0                            147.0                            
18.0                             100.0                            111.0                            181.0                            200.0                            168.0                            
19.0                             100.0                            123.0                            200.0                            200.0                            191.0                            
20.0                             100.0                            140.0                            228.0                            201.0                            203.0                            
21.0                             100.0                            159.0                            263.0                            203.0                            221.0                            
22.0                             100.0                            180.0                            285.0                            206.0                            256.01                           
23.0                             100.0                            203.0                            310.0                            214.0                            282.0                            
24.0                             100.0                            232.01                           328.0                            218.0                            311.0                            
25.0                             100.0                            260.0                            342.0                            221.0                            331.0                            
26.0                             100.0                            289.0                            350.0                            228.0                            354.0                            
27.0                             100.0                            307.0                            358.0                            238.0                            366.0                            
28.0                             100.0                            318.0                            365.0                            247.0                            378.0                            
29.0                             100.0                            332.0                            375.0                            250.0                            382.0                            
30.0                             100.0                            345.0                            384.0                            254.0                            386.0                            
