# mawi15-opp-dim
# quelen-Q-W=100-8-16
# 99^{th}\% queue occupancy sum (max)
# Pipeline depth (clock cycles)  * (global)                       5-tuple                          ipdst                            ipdst/16                         
1.0                              1.0                              1.0                              1.0                              1.0                              
2.0                              31.0                             8.0                              9.0                              14.0                             
3.0                              70.0                             12.0                             14.0                             26.0                             
4.0                              100.0                            16.01                            21.0                             40.0                             
5.0                              100.0                            20.0                             25.0                             60.0                             
6.0                              100.0                            23.0                             30.0                             84.0                             
7.0                              100.0                            26.0                             33.0                             99.0                             
8.0                              100.0                            30.0                             37.0                             105.0                            
9.0                              100.0                            35.0                             46.0                             115.0                            
10.0                             100.0                            42.0                             56.0                             118.0                            
11.0                             100.0                            52.0                             67.0                             124.0                            
12.0                             100.0                            61.0                             78.01                            134.0                            
13.0                             100.0                            68.0                             84.0                             143.0                            
14.0                             100.0                            73.0                             89.0                             155.0                            
15.0                             100.0                            78.0                             92.0                             169.0                            
16.0                             100.0                            81.0                             95.0                             183.0                            
17.0                             100.0                            84.0                             100.0                            197.0                            
18.0                             100.0                            86.0                             110.0                            199.0                            
19.0                             100.0                            87.01                            130.0                            200.0                            
20.0                             100.0                            90.0                             149.0                            201.0                            
21.0                             100.0                            92.0                             161.0                            204.0                            
22.0                             100.0                            94.0                             174.0                            207.0                            
23.0                             100.0                            96.0                             188.0                            210.0                            
24.0                             100.0                            101.0                            200.0                            214.0                            
25.0                             100.0                            116.0                            217.0                            216.0                            
26.0                             100.0                            128.0                            236.0                            217.0                            
27.0                             100.0                            137.0                            256.0                            222.0                            
28.0                             100.0                            147.0                            276.0                            225.0                            
29.0                             100.0                            164.0                            296.0                            231.0                            
30.0                             100.0                            179.0                            317.0                            235.0                            
