# mawi15-opp
# Q-W=16-16
# 99^{th}\% latency (cycles) (max)
# Pipeline depth (clock cycles)  * (global)                       5-tuple                          ipdst                            ipdst/16                         ipsrc,ipdst                      
1.0                              0.0                              0.0                              0.0                              0.0                              0.0                              
2.0                              60.08                            11.0                             14.0                             24.0                             11.0                             
3.0                              226.0                            24.0                             30.0                             65.0                             24.0                             
4.0                              830.0                            39.0                             51.0                             129.0                            39.0                             
5.0                              15127.0                          55.0                             74.0                             248.0                            55.0                             
6.0                              78357.0                          74.0                             100.0                            445.0                            74.0                             
7.0                              137092.0                         95.0                             129.0                            746.0                            93.03                            
8.0                              191493.0                         117.0                            165.0                            2307.0                           114.02                           
9.0                              ?                                144.0                            218.0                            11922.0                          139.0                            
10.0                             ?                                171.0                            281.0                            37985.96                         167.03                           
11.0                             ?                                198.0                            352.0                            65461.0                          192.13                           
12.0                             ?                                223.0                            427.69                           109709.73                        220.33                           
13.0                             ?                                247.0                            513.0                            164336.0                         243.0                            
14.0                             ?                                275.0                            625                              220554.65                        279.0                            
15.0                             ?                                321.99                           745.13                           276719.62                        334.0                            
16.0                             ?                                366.0                            857.26                           332227.43                        398.0                            
17.0                             ?                                421.93                           1128.35                          242401.0                         476.29                           
18.0                             ?                                477.0                            1354.44                          264148.24                        569.32                           
19.0                             ?                                533.0                            1636.52                          278526.42                        666.0                            
20.0                             ?                                587.0                            1971.0                           290279.78                        775.0                            
21.0                             ?                                648.0                            2455.98                          299526.67                        900.0                            
22.0                             ?                                708.0                            3236.84                          308710.04                        1062.0                           
23.0                             ?                                772.0                            4153.9                           316485.05                        1327.52                          
24.0                             ?                                849.0                            5259.88                          323908.2                         1758.59                          
25.0                             ?                                927.97                           7398.82                          333379.76                        2305.0                           
26.0                             ?                                1025.0                           9739.04                          ?                                2943.72                          
27.0                             ?                                1130.99                          11911.24                         ?                                3811.8                           
28.0                             ?                                1287.99                          13908.99                         ?                                5263.74                          
29.0                             ?                                1467.04                          15938.28                         ?                                7402.0                           
30.0                             ?                                1637.02                          17745.72                         ?                                9348.97                          
