# mawi15-opp
# Q-W=4-16
# 99^{th}\% latency (cycles) (max)
# Pipeline depth (clock cycles)  * (global)                       5-tuple                          ipdst                            ipdst/16                         
1.0                              0.0                              0.0                              0.0                              0.0                              
2.0                              60.08                            12.0                             14.0                             25.0                             
3.0                              226.0                            27.0                             32.0                             68.0                             
4.0                              830.0                            44.0                             55.0                             135.0                            
5.0                              15127.0                          65.0                             82.0                             265.0                            
6.0                              78357.0                          88.0                             112.07                           473.19                           
7.0                              137092.0                         116.0                            154.0                            822.38                           
8.0                              191493.0                         144.0                            221.0                            2824.0                           
9.0                              ?                                179.14                           297.0                            17699.0                          
10.0                             ?                                214.0                            383.66                           44626.0                          
11.0                             ?                                253.0                            493.93                           73098.0                          
12.0                             ?                                295.0                            656.03                           123691.0                         
13.0                             ?                                347.0                            1022.0                           180985.0                         
14.0                             ?                                459.16                           1510.45                          238008.39                        
15.0                             ?                                525.33                           1990.0                           200532.16                        
16.0                             ?                                643.0                            2687.0                           225605.38                        
17.0                             ?                                836.0                            4050.0                           251584.64                        
18.0                             ?                                1014.0                           5588.44                          270635.7                         
19.0                             ?                                1230.0                           7975.49                          284842.28                        
20.0                             ?                                1467.4                           13297.0                          295691.26                        
21.0                             ?                                1831.0                           21742.18                         305123.8                         
22.0                             ?                                2367.0                           36520.08                         314878.0                         
23.0                             ?                                3088.6                           ?                                322673.04                        
24.0                             ?                                4342.0                           ?                                ?                                
25.0                             ?                                6407.0                           ?                                ?                                
26.0                             ?                                11235.55                         ?                                ?                                
27.0                             ?                                18216.0                          ?                                ?                                
28.0                             ?                                30911.0                          ?                                ?                                
29.0                             ?                                45155.0                          ?                                ?                                
30.0                             ?                                64515.23                         ?                                ?                                
