# mawi15-opp
# Q-W=8-16
# 99^{th}\% max queue occupancy (max)
# Pipeline depth (clock cycles)  * (global)                       5-tuple                          ipdst                            ipdst/16                         ipsrc,ipdst                      
1.0                              1.0                              1.0                              1.0                              1.0                              1.0                              
2.0                              31.0                             8.0                              9.0                              14.0                             8.0                              
3.0                              76.0                             12.0                             14.0                             25.0                             12.0                             
4.0                              208.0                            16.0                             20.0                             39.0                             16.0                             
5.0                              3026.0                           20.0                             27.0                             58.0                             20.0                             
6.0                              13064.0                          27.0                             36.0                             95.0                             28.0                             
7.0                              25046.0                          37.0                             43.0                             137.0                            36.0                             
8.0                              34303.0                          44.0                             50.0                             311.0                            45.01                            
9.0                              ?                                56.0                             58.0                             1482.0                           61.0                             
10.0                             ?                                67.0                             69.0                             3992.0                           73.0                             
11.0                             ?                                78.0                             81.0                             6183.0                           83.0                             
12.0                             ?                                89.0                             93.0                             9413.0                           92.01                            
13.0                             ?                                98.0                             104.0                            13036.0                          106.0                            
14.0                             ?                                108.0                            114.0                            16191.0                          118.0                            
15.0                             ?                                116.0                            126.0                            18940.0                          125.0                            
16.0                             ?                                129.0                            136.0                            20292.0                          136.01                           
17.0                             ?                                136.0                            143.0                            22256.0                          146.0                            
18.0                             ?                                142.0                            156.0                            23975.0                          156.0                            
19.0                             ?                                152.0                            172.0                            25500.0                          162.0                            
20.0                             ?                                158.0                            226.0                            26891.0                          177.0                            
21.0                             ?                                170.0                            286.0                            28160.0                          194.01                           
22.0                             ?                                185.0                            343.0                            29289.0                          209.0                            
23.0                             ?                                200.0                            396.0                            30321.0                          216.0                            
24.0                             ?                                213.0                            444.01                           31278.0                          224.01                           
25.0                             ?                                222.0                            489.0                            ?                                248.0                            
26.0                             ?                                231.0                            530.0                            ?                                284.0                            
27.0                             ?                                238.01                           573.0                            ?                                396.0                            
28.0                             ?                                247.0                            609.0                            ?                                556.0                            
29.0                             ?                                257.0                            686.0                            ?                                764.0                            
30.0                             ?                                264.0                            827.0                            ?                                1125.0                           
