# mawi15-opp
# Q-W=16-16
# 99^{th}\% queue occupancy sum (max)
# Pipeline depth (clock cycles)  * (global)                       5-tuple                          ipdst                            ipdst/16                         ipsrc,ipdst                      
1.0                              1.0                              1.0                              1.0                              1.0                              1.0                              
2.0                              31.0                             8.0                              9.0                              14.0                             8.0                              
3.0                              76.0                             12.0                             14.0                             25.0                             12.0                             
4.0                              208.0                            17.0                             20.0                             39.0                             17.0                             
5.0                              3026.0                           20.0                             27.0                             59.0                             22.0                             
6.0                              13064.0                          27.0                             35.0                             95.0                             29.0                             
7.0                              25046.0                          35.0                             41.0                             143.0                            34.0                             
8.0                              34303.0                          44.0                             47.0                             305.0                            45.0                             
9.0                              ?                                56.0                             58.01                            1354.0                           59.0                             
10.0                             ?                                68.0                             71.0                             3814.0                           69.0                             
11.0                             ?                                78.0                             83.0                             5977.0                           78.01                            
12.0                             ?                                86.0                             94.0                             9136.0                           86.0                             
13.0                             ?                                94.0                             104.0                            12666.0                          93.0                             
14.0                             ?                                103.0                            114.0                            15772.0                          101.01                           
15.0                             ?                                112.0                            124.0                            18493.0                          116.0                            
16.0                             ?                                122.0                            137.0                            20850.0                          128.0                            
17.0                             ?                                130.01                           144.0                            21789.0                          132.0                            
18.0                             ?                                136.01                           151.0                            23486.0                          139.0                            
19.0                             ?                                145.0                            167.0                            25150.0                          147.0                            
20.0                             ?                                153.0                            233.0                            26970.0                          152.0                            
21.0                             ?                                159.0                            295.0                            28949.0                          161.0                            
22.0                             ?                                172.0                            356.0                            30982.0                          170.0                            
23.0                             ?                                184.0                            415.0                            32860.0                          177.0                            
24.0                             ?                                197.0                            482.0                            34672.0                          186.0                            
25.0                             ?                                210.0                            543.0                            36364.0                          201.0                            
26.0                             ?                                220.01                           598.0                            ?                                241.0                            
27.0                             ?                                230.0                            654.0                            ?                                294.0                            
28.0                             ?                                238.01                           710.01                           ?                                360.0                            
29.0                             ?                                243.0                            790.0                            ?                                432.0                            
30.0                             ?                                252.0                            903.0                            ?                                503.0                            
