# wc-opp-dim
# quelen-Q-W=10-1-1
# Fract. packets dropped (99^{th}%)
# Pipeline depth (clock cycles)  * (global)                       
1.0                              0.0                              
2.0                              0.4999                           
3.0                              0.66657                          
4.0                              0.7499                           
5.0                              0.7999                           
6.0                              0.83323                          
7.0                              0.85704                          
8.0                              0.8749                           
9.0                              0.88879                          
10.0                             0.8999                           
11.0                             0.90899                          
12.0                             0.91656                          
13.0                             0.92297                          
14.0                             0.92847                          
15.0                             0.93323                          
16.0                             0.9374                           
17.0                             0.94107                          
18.0                             0.94434                          
19.0                             0.94726                          
20.0                             0.9499                           
21.0                             0.95228                          
22.0                             0.95444                          
23.0                             0.95642                          
24.0                             0.95823                          
25.0                             0.9599                           
26.0                             0.96143                          
27.0                             0.96286                          
28.0                             0.96418                          
29.0                             0.96541                          
30.0                             0.96656                          
