# wc-opp-dim
# quelen-Q-W=10-1-1
# 99^{th}\% latency (cycles) (max)
# Pipeline depth (clock cycles)  * (global)                       
1.0                              0.0                              
2.0                              19.0                             
3.0                              29.0                             
4.0                              39.0                             
5.0                              49.0                             
6.0                              59.0                             
7.0                              69.0                             
8.0                              79.0                             
9.0                              89.0                             
10.0                             99.0                             
11.0                             109.0                            
12.0                             119.0                            
13.0                             129.0                            
14.0                             139.0                            
15.0                             149.0                            
16.0                             159.0                            
17.0                             169.0                            
18.0                             179.0                            
19.0                             189.0                            
20.0                             199.0                            
21.0                             209.0                            
22.0                             219.0                            
23.0                             229.0                            
24.0                             239.0                            
25.0                             249.0                            
26.0                             259.0                            
27.0                             269.0                            
28.0                             279.0                            
29.0                             289.0                            
30.0                             299.0                            
