# wc-opp-dim
# quelen-Q-W=10-1-1
# Throughput (min)
# Pipeline depth (clock cycles)  * (global)                       
1.0                              1.0                              
2.0                              0.5                              
3.0                              0.33334                          
4.0                              0.25                             
5.0                              0.2                              
6.0                              0.16667                          
7.0                              0.14286                          
8.0                              0.125                            
9.0                              0.11112                          
10.0                             0.1                              
11.0                             0.09091                          
12.0                             0.08334                          
13.0                             0.07693                          
14.0                             0.07143                          
15.0                             0.06667                          
16.0                             0.0625                           
17.0                             0.05883                          
18.0                             0.05556                          
19.0                             0.05264                          
20.0                             0.05                             
21.0                             0.04762                          
22.0                             0.04546                          
23.0                             0.04348                          
24.0                             0.04167                          
25.0                             0.04                             
26.0                             0.03847                          
27.0                             0.03704                          
28.0                             0.03572                          
29.0                             0.03449                          
30.0                             0.03334                          
